fact_id,date_key,mode_id,ridership_value,recovery_pct
1,20200301,1,19922,113
2,20200301,2,786960,98
3,20200301,3,984908,99
4,20200301,4,86790,100
5,20200301,5,55825,59
6,20200301,6,1636,52
7,20200301,7,2212965,97
8,20200302,1,30338,102
9,20200302,2,874619,95
10,20200302,3,2209066,99
11,20200302,4,321569,103
12,20200302,5,180701,66
13,20200302,6,17140,107
14,20200302,7,5329915,96
15,20200303,1,32767,110
16,20200303,2,882175,96
17,20200303,3,2228608,99
18,20200303,4,319727,102
19,20200303,5,190648,69
20,20200303,6,17453,109
21,20200303,7,5481103,98
22,20200304,1,34297,115
23,20200304,2,905558,98
24,20200304,3,2177165,97
25,20200304,4,311662,99
26,20200304,5,192689,70
27,20200304,6,17136,107
28,20200304,7,5498809,99
29,20200305,1,33209,112
30,20200305,2,929298,101
31,20200305,3,2244515,100
32,20200305,4,307597,98
33,20200305,5,194386,70
34,20200305,6,17203,108
35,20200305,7,5496453,99
36,20200306,1,30970,104
37,20200306,2,945408,103
38,20200306,3,2066743,92
39,20200306,4,289171,92
40,20200306,5,205056,74
41,20200306,6,15285,96
42,20200306,7,5189447,93
43,20200307,1,18117,107
44,20200307,2,827907,95
45,20200307,3,1249085,94
46,20200307,4,106058,98
47,20200307,5,75838,56
48,20200307,6,2445,48
49,20200307,7,2814637,92
50,20200308,1,19477,111
51,20200308,2,765083,95
52,20200308,3,957163,96
53,20200308,4,81565,94
54,20200308,5,60800,64
55,20200308,6,1672,53
56,20200308,7,2120656,93
57,20200309,1,29609,100
58,20200309,2,860073,93
59,20200309,3,2124770,95
60,20200309,4,277001,88
61,20200309,5,183953,67
62,20200309,6,16122,101
63,20200309,7,4973513,89
64,20200310,1,31315,105
65,20200310,2,855585,93
66,20200310,3,2111989,94
67,20200310,4,259324,83
68,20200310,5,179050,65
69,20200310,6,15805,99
70,20200310,7,4867818,87
71,20200311,1,32198,108
72,20200311,2,866706,94
73,20200311,3,2112967,94
74,20200311,4,245798,78
75,20200311,5,175074,63
76,20200311,6,15340,96
77,20200311,7,4697122,84
78,20200312,1,30814,104
79,20200312,2,881188,96
80,20200312,3,1938424,86
81,20200312,4,197178,63
82,20200312,5,169547,61
83,20200312,6,14169,89
84,20200312,7,4149505,75
85,20200313,1,26640,90
86,20200313,2,860419,93
87,20200313,3,1715737,77
88,20200313,4,158582,51
89,20200313,5,167176,61
90,20200313,6,11769,74
91,20200313,7,3484996,63
92,20200314,1,13394,79
93,20200314,2,631101,72
94,20200314,3,993287,75
95,20200314,4,44885,42
96,20200314,5,39701,29
97,20200314,6,2135,42
98,20200314,7,1670665,54
99,20200315,1,12480,71
100,20200315,2,535987,66
101,20200315,3,711555,72
102,20200315,4,33407,38
103,20200315,5,32641,35
104,20200315,6,1368,43
105,20200315,7,1157711,51
106,20200316,1,21145,71
107,20200316,2,708869,77
108,20200316,3,1237309,55
109,20200316,4,119333,38
110,20200316,5,153262,56
111,20200316,6,5741,36
112,20200316,7,2178555,39
113,20200317,1,18173,61
114,20200317,2,650444,71
115,20200317,3,1094949,49
116,20200317,4,83578,27
117,20200317,5,147391,53
118,20200317,6,4573,29
119,20200317,7,1788786,32
120,20200318,1,15942,54
121,20200318,2,634853,69
122,20200318,3,1059502,47
