date,date_key,year,quarter,month,month_name,day,day_name,transport_mode,value_type,ridership_value,recovery_pct
2020-03-01,20200301,2020,1,3,March,1,Sunday,Access-A-Ride,Scheduled Trips,19922,113
2020-03-01,20200301,2020,1,3,March,1,Sunday,Bridges and Tunnels,Total Traffic,786960,98
2020-03-01,20200301,2020,1,3,March,1,Sunday,Buses,Estimated Ridership,984908,99
2020-03-01,20200301,2020,1,3,March,1,Sunday,LIRR,Estimated Ridership,86790,100
2020-03-01,20200301,2020,1,3,March,1,Sunday,Metro-North,Estimated Ridership,55825,59
2020-03-01,20200301,2020,1,3,March,1,Sunday,Staten Island Railway,Estimated Ridership,1636,52
2020-03-01,20200301,2020,1,3,March,1,Sunday,Subways,Estimated Ridership,2212965,97
2020-03-02,20200302,2020,1,3,March,2,Monday,Access-A-Ride,Scheduled Trips,30338,102
2020-03-02,20200302,2020,1,3,March,2,Monday,Bridges and Tunnels,Total Traffic,874619,95
2020-03-02,20200302,2020,1,3,March,2,Monday,Buses,Estimated Ridership,2209066,99
2020-03-02,20200302,2020,1,3,March,2,Monday,LIRR,Estimated Ridership,321569,103
2020-03-02,20200302,2020,1,3,March,2,Monday,Metro-North,Estimated Ridership,180701,66
2020-03-02,20200302,2020,1,3,March,2,Monday,Staten Island Railway,Estimated Ridership,17140,107
2020-03-02,20200302,2020,1,3,March,2,Monday,Subways,Estimated Ridership,5329915,96
2020-03-03,20200303,2020,1,3,March,3,Tuesday,Access-A-Ride,Scheduled Trips,32767,110
2020-03-03,20200303,2020,1,3,March,3,Tuesday,Bridges and Tunnels,Total Traffic,882175,96
2020-03-03,20200303,2020,1,3,March,3,Tuesday,Buses,Estimated Ridership,2228608,99
2020-03-03,20200303,2020,1,3,March,3,Tuesday,LIRR,Estimated Ridership,319727,102
2020-03-03,20200303,2020,1,3,March,3,Tuesday,Metro-North,Estimated Ridership,190648,69
2020-03-03,20200303,2020,1,3,March,3,Tuesday,Staten Island Railway,Estimated Ridership,17453,109
2020-03-03,20200303,2020,1,3,March,3,Tuesday,Subways,Estimated Ridership,5481103,98
